Date,Close,Open,High,Low
12/1/23,4594.63,4559.43,4599.39,4554.71
11/30/23,4567.8,4554.87,4569.89,4537.24
11/29/23,4550.58,4571.84,4587.64,4547.15
11/28/23,4554.89,4545.55,4568.14,4540.51
11/27/23,4550.43,4554.86,4560.52,4546.32
11/24/23,4559.34,4555.84,4560.31,4552.8
11/22/23,4556.62,4553.04,4568.43,4545.05
11/21/23,4538.19,4538.77,4542.14,4525.51
11/20/23,4547.38,4511.7,4557.11,4510.36
11/17/23,4514.02,4509.55,4520.12,4499.66
11/16/23,4508.24,4497.08,4511.99,4487.83
11/15/23,4502.88,4505.3,4521.17,4495.31
11/14/23,4495.7,4458.97,4508.67,4458.97
11/13/23,4411.55,4406.66,4421.76,4393.82
11/10/23,4415.24,4364.15,4418.03,4353.34
11/9/23,4347.35,4391.41,4393.4,4343.94
11/8/23,4382.78,4384.37,4391.2,4359.76
11/7/23,4378.38,4366.21,4386.26,4355.41
11/6/23,4365.98,4364.27,4372.21,4347.53
11/3/23,4358.34,4334.23,4373.62,4334.23
11/2/23,4317.78,4268.26,4319.72,4268.26
11/1/23,4237.86,4201.27,4245.64,4197.74
10/31/23,4193.8,4171.33,4195.55,4153.12
10/30/23,4166.82,4139.39,4177.47,4132.94
10/27/23,4117.37,4152.93,4156.7,4103.78
10/26/23,4137.23,4175.99,4183.6,4127.9
10/25/23,4186.77,4232.42,4232.42,4181.42
10/24/23,4247.68,4235.79,4259.38,4219.43
10/23/23,4217.04,4210.4,4255.84,4189.22
10/20/23,4224.16,4273.85,4276.56,4223.03
10/19/23,4278,4321.36,4339.54,4269.69
10/18/23,4314.6,4357.35,4364.2,4303.84
10/17/23,4373.2,4345.23,4393.57,4337.54
10/16/23,4373.63,4342.37,4383.33,4342.37
10/13/23,4327.78,4360.49,4377.1,4311.97
10/12/23,4349.61,4380.94,4385.85,4325.43
10/11/23,4376.95,4366.59,4378.64,4345.34
10/10/23,4358.24,4339.75,4385.46,4339.64
10/9/23,4335.66,4289.02,4341.73,4283.79
10/6/23,4308.5,4234.79,4324.1,4219.55
10/5/23,4258.19,4259.31,4267.13,4225.91
10/4/23,4263.75,4233.83,4268.5,4220.48
10/3/23,4229.45,4269.75,4281.15,4216.45
10/2/23,4288.39,4284.52,4300.58,4260.21
9/29/23,4288.05,4328.18,4333.15,4274.86
9/28/23,4299.7,4269.65,4317.27,4264.38
9/27/23,4274.51,4282.63,4292.07,4238.63
9/26/23,4273.53,4312.88,4313.01,4265.98
9/25/23,4337.44,4310.62,4338.51,4302.7
9/22/23,4320.06,4341.74,4357.4,4316.49
9/21/23,4330,4374.36,4375.7,4329.17
9/20/23,4402.2,4452.81,4461.03,4401.38
9/19/23,4443.95,4445.41,4449.85,4416.61
9/18/23,4453.53,4445.13,4466.36,4442.11
9/15/23,4450.32,4497.98,4497.98,4447.21
9/14/23,4505.1,4487.78,4511.99,4478.69
9/13/23,4467.44,4462.65,4479.39,4453.52
9/12/23,4461.9,4473.27,4487.11,4456.83
9/11/23,4487.46,4480.98,4490.77,4467.89
9/8/23,4457.49,4451.3,4473.53,4448.38
9/7/23,4451.14,4434.55,4457.81,4430.46
9/6/23,4465.48,4490.35,4490.35,4442.38
9/5/23,4496.83,4510.06,4514.29,4496.01
9/1/23,4515.77,4530.6,4541.25,4501.35
8/31/23,4507.66,4517.01,4532.26,4507.39
8/30/23,4514.87,4500.34,4521.65,4493.59
8/29/23,4497.63,4432.75,4500.14,4431.68
8/28/23,4433.31,4426.03,4439.56,4414.98
8/25/23,4405.71,4389.38,4418.46,4356.29
8/24/23,4376.31,4455.16,4458.3,4375.55
8/23/23,4436.01,4396.44,4443.18,4396.44
8/22/23,4387.55,4415.33,4418.59,4382.77
8/21/23,4399.77,4380.28,4407.55,4360.3
8/18/23,4369.71,4344.88,4381.82,4335.31
8/17/23,4370.36,4416.32,4421.17,4364.83
8/16/23,4404.33,4433.79,4449.95,4403.55
8/15/23,4437.86,4478.87,4478.87,4432.19
8/14/23,4489.72,4458.13,4490.33,4453.44
8/11/23,4464.05,4450.69,4476.23,4443.98
8/10/23,4468.83,4487.16,4527.37,4457.92
8/9/23,4467.71,4501.57,4502.44,4461.33
8/8/23,4499.38,4498.03,4503.31,4464.39
8/7/23,4518.44,4491.58,4519.84,4491.15
8/4/23,4478.03,4513.96,4540.34,4474.55
8/3/23,4501.89,4494.27,4519.49,4485.54
8/2/23,4513.39,4550.93,4550.93,4505.75
8/1/23,4576.73,4578.83,4584.62,4567.53
7/31/23,4588.96,4584.82,4594.22,4573.14
7/28/23,4582.23,4565.75,4590.16,4564.01
7/27/23,4537.41,4598.26,4607.07,4528.56
7/26/23,4566.75,4558.96,4582.47,4547.58
7/25/23,4567.46,4555.19,4580.62,4552.42
7/24/23,4554.64,4543.39,4563.41,4541.29
7/21/23,4536.34,4550.16,4555,4535.79
7/20/23,4534.87,4554.38,4564.74,4527.56
7/19/23,4565.72,4563.87,4578.43,4557.48
7/18/23,4554.98,4521.78,4562.3,4514.59
7/17/23,4522.79,4508.86,4532.85,4504.9
7/14/23,4505.42,4514.61,4527.76,4499.56
7/13/23,4510.04,4491.5,4517.38,4489.36
7/12/23,4472.16,4467.69,4488.34,4463.23
7/11/23,4439.26,4415.55,4443.64,4408.46
7/10/23,4409.53,4394.23,4412.6,4389.92
7/7/23,4398.95,4404.54,4440.39,4397.4
7/6/23,4411.59,4422.62,4422.62,4385.05
7/5/23,4446.82,4442.04,4454.06,4436.61
7/3/23,4455.59,4450.48,4456.46,4442.29
6/30/23,4450.38,4422.44,4458.48,4422.44
6/29/23,4396.44,4374.94,4398.39,4371.97
6/28/23,4376.86,4367.48,4390.35,4360.22
6/27/23,4378.41,4337.36,4384.42,4335
6/26/23,4328.82,4344.84,4362.06,4328.08
6/23/23,4348.33,4354.17,4366.55,4341.34
6/22/23,4381.89,4355.4,4382.25,4351.82
6/21/23,4365.69,4380.01,4386.22,4360.14
6/20/23,4388.71,4396.11,4400.15,4367.19
6/16/23,4409.59,4440.95,4448.47,4407.44
6/15/23,4425.84,4365.33,4439.2,4362.6
6/14/23,4372.59,4366.29,4391.82,4337.85
6/13/23,4369.01,4352.61,4375.37,4349.31
6/12/23,4338.93,4308.32,4340.13,4304.37
6/9/23,4298.86,4304.88,4322.62,4291.7
6/8/23,4293.93,4268.69,4298.01,4261.07
6/7/23,4267.52,4285.47,4299.19,4263.96
6/6/23,4283.85,4271.34,4288.33,4263.09
6/5/23,4273.79,4282.99,4299.28,4266.82
6/2/23,4282.37,4241.01,4290.67,4241.01
6/1/23,4221.02,4183.03,4232.43,4171.64
5/31/23,4179.83,4190.74,4195.44,4166.15
5/30/23,4205.52,4226.71,4231.1,4192.18
5/26/23,4205.45,4156.16,4212.87,4156.16
